Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,456000,65000,8,Chandigarh
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,319000,110000,9,Mohali
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,631000,19000,6,Delhi
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,528000,72610,5,Delhi
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,432000,108623,9,Delhi
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,392000,101770,7,Hyderabad
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,526000,105818,6,Hyderabad
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,438000,78000,6,Hyderabad
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,409000,85000,9,Hyderabad
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,466000,46224,8,Kolkata
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,517000,30000,8,Mumbai
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,453000,39000,7,Mumbai
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,437000,73436,7,Mumbai
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,372000,48167,9,Mumbai
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,454000,38000,7,Mumbai
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,555000,59889,6,Thane
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,477000,80000,6,Mumbai
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,502000,68000,7,Pune
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,611000,49000,5,Pune
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,405000,98000,9,Pune
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,608000,52000,5,Pune
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,447000,52507,6,Pune
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,372000,65800,8,Pune
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,673000,61192,6,Bangalore
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,498000,78000,7,Delhi
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,421000,70867,9,Delhi
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,498000,65000,8,Chandigarh
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,602000,62000,6,Ludhiana
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,477000,110000,9,Mohali
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,498000,46224,8,Kolkata
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,554000,57000,7,Kolkata
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,500000,73436,7,Mumbai
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,422000,59958,9,Mumbai
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,491000,39125,7,Mumbai
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,605000,63701,6,Pune
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,475000,83000,9,Pune
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,661000,49000,5,Pune
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,660000,52000,5,Pune
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,509000,65800,8,Pune
Maruti Suzuki,Ciaz,Alpha 1.3 Hybrid[2017-2018],Manual,Diesel,568000,42000,7,Chennai
Maruti Suzuki,Ciaz,Alpha 1.3 Hybrid[2017-2018],Manual,Diesel,668000,64000,5,Gurgaon
Maruti Suzuki,Ciaz,Alpha 1.3 Hybrid[2017-2018],Manual,Diesel,524000,118679,7,Pune
Maruti Suzuki,Ciaz,Alpha 1.3 Hybrid[2017-2018],Manual,Diesel,614000,62115,6,Pune
Maruti Suzuki,Ciaz,Alpha 1.3 Hybrid[2017-2018],Manual,Diesel,557000,62300,7,Pune
Maruti Suzuki,Ciaz,Alpha 1.3 Hybrid[2017-2018],Manual,Diesel,661000,113188,6,Chandigarh
Maruti Suzuki,Ciaz,Alpha 1.3 Hybrid[2017-2018],Manual,Diesel,609000,118679,7,Pune
Maruti Suzuki,Ciaz,Alpha 1.3 Hybrid[2017-2018],Manual,Diesel,605000,92000,7,Pune
Maruti Suzuki,Ciaz,Alpha 1.4 AT[2017-2018],Automatic,Petrol,617000,62000,7,Bangalore
Maruti Suzuki,Ciaz,Alpha 1.4 AT[2017-2018],Automatic,Petrol,760000,40000,4,Mohali
Maruti Suzuki,Ciaz,Alpha 1.4 AT[2017-2018],Automatic,Petrol,627000,52000,6,Chennai
Maruti Suzuki,Ciaz,Alpha 1.4 AT[2017-2018],Automatic,Petrol,860000,15000,3,Chennai
Maruti Suzuki,Ciaz,Alpha 1.4 AT[2017-2018],Automatic,Petrol,634000,35000,6,Chennai
Maruti Suzuki,Ciaz,Alpha 1.4 AT[2017-2018],Automatic,Petrol,623000,52000,7,Delhi
Maruti Suzuki,Ciaz,Alpha 1.4 AT[2017-2018],Automatic,Petrol,638000,35029,6,Gurgaon
Maruti Suzuki,Ciaz,Alpha 1.4 AT[2017-2018],Automatic,Petrol,548000,89000,7,Noida
