,Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
1609,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,695000.0,118000,7,Pune
1610,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,657000.0,84614,8,Pune
1611,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,749000.0,107000,6,Pune
1612,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,698000.0,68000,7,Pune
1613,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,699000.0,132000,7,Pune
1614,Maruti Suzuki,Ertiga,VDi[2012-2015],Manual,Diesel,315000.0,96118,9,Ahmedabad
1615,Maruti Suzuki,Ertiga,VDi[2012-2015],Manual,Diesel,320000.0,90000,9,Ahmedabad
1616,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,203000.0,68324,9,Ahmedabad
1617,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,204000.0,40062,9,Ahmedabad
1618,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,193000.0,99500,9,Ahmedabad
1619,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,212000.0,95072,8,Vadodara
1620,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,262000.0,65000,7,Bangalore
1621,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,198000.0,62000,10,Bangalore
1622,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,190000.0,99000,10,Bangalore
1623,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,237000.0,70000,8,Bangalore
1624,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,251000.0,105000,7,Bangalore
1625,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,305000.0,100000,5,Bangalore
1626,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,201000.0,135000,9,Bangalore
1627,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,185000.0,63000,10,Chandigarh
